Result Set (589 items)•••
TABLE_NAME	COLUMN_NAME	DATA_TYPE	ORDINAL_POSITIONΞΞ	CHARACTER_MAXIMUM_LENGTHΞΞ	IS_NULLABLE
ScenarioStep	Operation	tinyint	5	null	YES
ScenarioStep	IsEnabled	bit	6	null	NO
ScenarioStep	NewValue	nvarchar	7	32	NO
ScenarioStep	IOItemIdentifier	uniqueidentifier	8	null	YES
SimulationCase	CaseIdentifier	uniqueidentifier	1	null	NO
SimulationCase	ScenarioIdentifier	uniqueidentifier	2	null	YES
SimulationCase	SequenceIdentifier	uniqueidentifier	3	null	NO
SimulationCase	IsEnabled	bit	4	null	NO
SimulationCase	SyncWithProcessModel	bit	5	null	NO
SimulationCase	StartTime	datetime	6	null	NO
SimulationCaseModel	SimulationCaseIdentifier	uniqueidentifier	1	null	NO
SimulationCaseModel	ItemSequenceIdentifier	uniqueidentifier	2	null	NO
SimulationCaseModel	ModelIdentifier	uniqueidentifier	3	null	NO
SimulationCaseModel	SelectedLayer	int	4	null	NO
SimulationCaseSetup	Identifier	uniqueidentifier	1	null	NO
SimulationCaseSetup	CaseIdentifier	uniqueidentifier	2	null	NO
SimulationCaseSetup	IOItemIdentifier	uniqueidentifier	3	null	YES
SimulationCaseSetup	Value	nvarchar	4	32	NO
SimulationCaseSetup	Quality	tinyint	5	null	NO
SimulationReferenceData	SimulationReferenceDataIdentifier	uniqueidentifier	1	null	NO
SimulationReferenceData	SimulationCaseIdentifier	uniqueidentifier	2	null	NO
SimulationReferenceData	InitializeTimeSegmentIdentifier	uniqueidentifier	3	null	YES
SimulationReferenceData	InitializeTime	datetime	4	null	YES
SimulationReferenceData	TimeSegmentIdentifier	uniqueidentifier	5	null	YES
SimulationReferenceData	IsFeed	bit	6	null	YES
SimulationReferenceData	IsContinueDataFeed	bit	7	null	YES
SimulationReferenceData	IsMatch	bit	8	null	YES
SimulationReferenceData	IsInitializeDynamics	bit	9	null	YES
SimulationReferenceData	IsFeedDataDelta	bit	10	null	YES
SimulationReferenceDataLink	SimulationReferenceDataIdentifier	uniqueidentifier	1	null	NO
SimulationReferenceDataLink	SimulationReferenceDataLinkIdentifier	uniqueidentifier	2	null	NO
SimulationReferenceDataLink	ProcessVariableIdentifier	uniqueidentifier	3	null	NO
SimulationReferenceDataLink	IOItemIdentifier	uniqueidentifier	4	null	NO
SimulationReferenceDataLink	IsInitialize	bit	5	null	YES
SimulationReferenceDataLink	IsFeed	bit	6	null	YES
SimulationReferenceDataLink	IsDelta	bit	7	null	YES
SisoElements	SisoElementIdentifier	uniqueidentifier	1	null	NO
SisoElements	Name	nvarchar	2	32	NO
SisoElements	Notes	nvarchar	3	2048	YES
SisoElements	SisoRelationIdentifier	uniqueidentifier	4	null	NO
SisoElements	SisoElementType	nvarchar	5	32	NO
SisoElementValues	ElementIdentifier	uniqueidentifier	1	null	NO
SisoElementValues	SisoElementValueType	nvarchar	2	50	YES
SisoElementValues	SisoElementValue	float	3	null	NO
SisoRelation	SisoRelationIdentifier	uniqueidentifier	1	null	NO
SisoRelation	RelationBlockIdentifier	uniqueidentifier	2	null	NO
SisoRelation	IsLegal	bit	3	null	NO
SisoRelation	IsDisturbance	bit	4	null	NO
SisoRelation	InputProcessVariableIdentifier	uniqueidentifier	5	null	NO
SisoRelation	OutputProcessVariableIdentifier	uniqueidentifier	6	null	NO
TimeSegmentReferences	TypeIdentifier	uniqueidentifier	1	null	NO
TimeSegmentReferences	TimeSegmentIdentifier	uniqueidentifier	2	null	NO
TimeSegmentReferences	TimeSegmentUserSelectionType	nvarchar	3	128	NO
TimeSegments	TimeSegmentIdentifier	uniqueidentifier	1	null	NO
TimeSegments	DataArrayTypeIdentifier	uniqueidentifier	2	null	NO
TimeSegments	StartTimeUtc	datetime	3	null	NO
TimeSegments	EndTimeUtc	datetime	4	null	NO
TimeSegments	FitIdentifier	uniqueidentifier	5	null	YES
TraceLog	TraceLogIdentity	int	1	null	NO
TraceLog	ImpactedItems	nvarchar	2	256	YES
TraceLog	ActionType	ntext	3	536870911	NO
TraceLog	ActionTotal	int	4	null	NO
TraceLog	PerformedBy	nvarchar	5	128	NO
TraceLog	PerformedDate	datetime	6	null	NO
TraceLogActions	TraceLogIdentity	int	1	null	NO
TraceLogActions	GroupIndex	int	2	null	NO
TraceLogActions	ModifiedType	nvarchar	3	32	NO
TraceLogActions	UndoLogic	ntext	4	536870911	NO
TraceLogActions	RedoLogic	ntext	5	536870911	NO
UserParameter	UserParameterId	uniqueidentifier	1	null	NO
UserParameter	EngineeringUnits	nvarchar	2	32	YES
UserParameter	UserParameterType	nvarchar	3	32	NO
UserParameter	IsOperatorEditable	bit	4	null	NO
UserParameter	DigitalStateId	uniqueidentifier	5	null	YES
UserParameter	SourceIOItemId	uniqueidentifier	6	null	YES
UserParameter	IsLocal	bit	7	null	NO
VariableChartCellReference	ChartCellIdentifier	uniqueidentifier	1	null	NO
VariableChartCellReference	VariableIdentifier	uniqueidentifier	2	null	NO
VariableChartCellReference	Visible	bit	3	null	NO
VariableChartCellReference	Color	int	4	null	YES
VariableChartCellReference	Highlighted	bit	5	null	NO
VariableChartCellReference	IsDigitalDataType	bit	6	null	NO
VariableChartCellReference	IsXAxis	bit	7	null	NO
VariableChartCellReference	AutoScaleY	bit	8	null	NO
VariableChartCellReference	ScaleYMaxVal	real	9	null	NO
VariableChartCellReference	ScaleYMinVal	real	10	null	NO
VariableDatasourceTag	ProcessVariableId	uniqueidentifier	1	null	NO
VariableDatasourceTag	DataSourceId	uniqueidentifier	2	null	NO
VariableDatasourceTag	TagName	nvarchar	3	255	YES
VariableLabAssociations	LabVariableId	uniqueidentifier	1	null	NO
VariableLabAssociations	AssociatedVariableId	uniqueidentifier	2	null	NO
VariableReference	VariableReferenceIdentifier	uniqueidentifier	1	null	NO
VariableReference	ParentObjId	uniqueidentifier	2	null	NO
VariableReference	ProcessVariableId	uniqueidentifier	3	null	NO
VariableReference	ReferenceType	nvarchar	4	32	NO
VariableReference	ItemSequenceIdentifier	uniqueidentifier	5	null	NO
VariableReference	TransformIdentifier	uniqueidentifier	6	null	YES
VariableRole	RoleIdentifier	uniqueidentifier	1	null	NO
VariableRole	ParentIdentifier	uniqueidentifier	2	null	NO
VariableRole	RoleType	nvarchar	3	32	NO
VariableRole	VariableReferenceIdentifier	uniqueidentifier	4	null	NO
VariableTransform	TransformIdentifier	uniqueidentifier	1	null	NO
VariableTransform	VariableIdentifier	uniqueidentifier	2	null	NO
VariableTransform	Formula	nvarchar	3	4000	YES
VariableTransform	Min	float	4	null	YES
VariableTransform	Max	float	5	null	YES
VariableTransform	PointNumber	int	6	null	YES
WatchDog	Identifier	uniqueidentifier	1	null	NO
WatchDog	ProcessorIdentifier	uniqueidentifier	2	null	NO
WatchDogMVAssignment	ProcessorId	uniqueidentifier	1	null	NO
WatchDogMVAssignment	VariableRoleIdentifier	uniqueidentifier	2	null	NO
WatchDogMVAssignment	WatchDogIdentifier	uniqueidentifier	3	null	YES
WatchDogMVAssignment	MoveVoilationBehaviour	int	4	null	NO
WatchDogMVAssignment	SlotNumber	int	5	null	YES
2987	2684385408	
